date,product_id,quantity
2024-03-28 21:40:05.134689,1,474
2024-03-29 21:40:05.134689,1,530
2024-03-30 21:40:05.134689,1,547
2024-03-31 21:40:05.134689,1,579
2024-04-01 21:40:05.134689,1,548
2024-04-02 21:40:05.134689,1,524
2024-04-03 21:40:05.134689,1,486
2024-04-04 21:40:05.134689,1,507
2024-04-05 21:40:05.134689,1,554
2024-04-06 21:40:05.134689,1,634
2024-04-07 21:40:05.134689,1,588
2024-04-08 21:40:05.134689,1,467
2024-04-09 21:40:05.134689,1,522
2024-04-10 21:40:05.134689,1,493
2024-04-11 21:40:05.134689,1,529
2024-04-12 21:40:05.134689,1,559
2024-04-13 21:40:05.134689,1,584
2024-04-14 21:40:05.134689,1,568
2024-04-15 21:40:05.134689,1,496
2024-04-16 21:40:05.134689,1,424
2024-04-17 21:40:05.134689,1,511
2024-04-18 21:40:05.134689,1,523
2024-04-19 21:40:05.134689,1,625
2024-04-20 21:40:05.134689,1,527
2024-04-21 21:40:05.134689,1,569
2024-04-22 21:40:05.134689,1,559
2024-04-23 21:40:05.134689,1,424
2024-04-24 21:40:05.134689,1,510
2024-04-25 21:40:05.134689,1,534
2024-04-26 21:40:05.134689,1,647
2024-04-27 21:40:05.134689,1,597
2024-04-28 21:40:05.134689,1,590
2024-04-29 21:40:05.134689,1,600
2024-04-30 21:40:05.134689,1,580
2024-05-01 21:40:05.134689,1,528
2024-05-02 21:40:05.134689,1,554
2024-05-03 21:40:05.134689,1,622
2024-05-04 21:40:05.134689,1,685
2024-05-05 21:40:05.134689,1,714
2024-05-06 21:40:05.134689,1,765
2024-05-07 21:40:05.134689,1,698
2024-05-08 21:40:05.134689,1,773
2024-05-09 21:40:05.134689,1,785
2024-05-10 21:40:05.134689,1,776
2024-05-11 21:40:05.134689,1,708
2024-05-12 21:40:05.134689,1,527
2024-05-13 21:40:05.134689,1,611
2024-05-14 21:40:05.134689,1,490
2024-05-15 21:40:05.134689,1,531
2024-05-16 21:40:05.134689,1,529
2024-05-17 21:40:05.134689,1,600
2024-05-18 21:40:05.134689,1,640
2024-05-19 21:40:05.134689,1,580
2024-05-20 21:40:05.134689,1,539
2024-05-21 21:40:05.134689,1,587
2024-05-22 21:40:05.134689,1,650
2024-05-23 21:40:05.134689,1,566
2024-05-24 21:40:05.134689,1,700
2024-05-25 21:40:05.134689,1,640
2024-05-26 21:40:05.134689,1,581
2024-05-27 21:40:05.134689,1,535
2024-05-28 21:40:05.134689,1,561
2024-05-29 21:40:05.134689,1,582
2024-05-30 21:40:05.134689,1,724
2024-05-31 21:40:05.134689,1,628
2024-06-01 21:40:05.134689,1,754
2024-06-02 21:40:05.134689,1,629
2024-06-03 21:40:05.134689,1,620
2024-06-04 21:40:05.134689,1,545
2024-06-05 21:40:05.134689,1,600
2024-06-06 21:40:05.134689,1,601
2024-06-07 21:40:05.134689,1,719
2024-06-08 21:40:05.134689,1,719
2024-06-09 21:40:05.134689,1,641
2024-06-10 21:40:05.134689,1,658
2024-06-11 21:40:05.134689,1,621
2024-06-12 21:40:05.134689,1,598
2024-06-13 21:40:05.134689,1,613
2024-06-14 21:40:05.134689,1,818
2024-06-15 21:40:05.134689,1,605
2024-06-16 21:40:05.134689,1,617
2024-06-17 21:40:05.134689,1,588
2024-06-18 21:40:05.134689,1,563
2024-06-19 21:40:05.134689,1,549
2024-06-20 21:40:05.134689,1,621
2024-06-21 21:40:05.134689,1,611
2024-06-22 21:40:05.134689,1,618
2024-06-23 21:40:05.134689,1,665
2024-06-24 21:40:05.134689,1,578
2024-06-25 21:40:05.134689,1,617
2024-06-26 21:40:05.134689,1,539
2024-06-27 21:40:05.134689,1,600
2024-06-28 21:40:05.134689,1,615
2024-06-29 21:40:05.134689,1,677
2024-06-30 21:40:05.134689,1,628
2024-07-01 21:40:05.134689,1,633
2024-07-02 21:40:05.134689,1,648
2024-07-03 21:40:05.134689,1,611
2024-07-04 21:40:05.134689,1,692
2024-07-05 21:40:05.134689,1,716
2024-07-06 21:40:05.134689,1,666
2024-07-07 21:40:05.134689,1,776
2024-07-08 21:40:05.134689,1,591
2024-07-09 21:40:05.134689,1,598
2024-07-10 21:40:05.134689,1,529
2024-07-11 21:40:05.134689,1,614
2024-07-12 21:40:05.134689,1,639
2024-07-13 21:40:05.134689,1,661
2024-07-14 21:40:05.134689,1,618
2024-07-15 21:40:05.134689,1,573
2024-07-16 21:40:05.134689,1,576
2024-07-17 21:40:05.134689,1,607
2024-07-18 21:40:05.134689,1,624
2024-07-19 21:40:05.134689,1,638
2024-07-20 21:40:05.134689,1,676
2024-07-21 21:40:05.134689,1,621
2024-07-22 21:40:05.134689,1,579
2024-07-23 21:40:05.134689,1,532
2024-07-24 21:40:05.134689,1,560
2024-07-25 21:40:05.134689,1,617
2024-07-26 21:40:05.134689,1,646
2024-07-27 21:40:05.134689,1,590
2024-07-28 21:40:05.134689,1,662
2024-07-29 21:40:05.134689,1,674
2024-07-30 21:40:05.134689,1,537
2024-07-31 21:40:05.134689,1,618
2024-08-01 21:40:05.134689,1,603
2024-08-02 21:40:05.134689,1,722
2024-08-03 21:40:05.134689,1,725
2024-08-04 21:40:05.134689,1,645
2024-08-05 21:40:05.134689,1,569
2024-08-06 21:40:05.134689,1,619
2024-08-07 21:40:05.134689,1,589
2024-08-08 21:40:05.134689,1,612
2024-08-09 21:40:05.134689,1,656
2024-08-10 21:40:05.134689,1,651
2024-08-11 21:40:05.134689,1,622
2024-08-12 21:40:05.134689,1,540
2024-08-13 21:40:05.134689,1,554
2024-08-14 21:40:05.134689,1,463
2024-08-15 21:40:05.134689,1,589
2024-08-16 21:40:05.134689,1,593
2024-08-17 21:40:05.134689,1,613
2024-08-18 21:40:05.134689,1,538
2024-08-19 21:40:05.134689,1,493
2024-08-20 21:40:05.134689,1,598
2024-08-21 21:40:05.134689,1,508
2024-08-22 21:40:05.134689,1,550
2024-08-23 21:40:05.134689,1,598
2024-08-24 21:40:05.134689,1,618
2024-08-25 21:40:05.134689,1,568
2024-08-26 21:40:05.134689,1,564
2024-08-27 21:40:05.134689,1,467
2024-08-28 21:40:05.134689,1,563
2024-08-29 21:40:05.134689,1,613
2024-08-30 21:40:05.134689,1,922
2024-08-31 21:40:05.134689,1,1005
2024-09-01 21:40:05.134689,1,878
2024-09-02 21:40:05.134689,1,851
2024-09-03 21:40:05.134689,1,798
2024-09-04 21:40:05.134689,1,588
2024-09-05 21:40:05.134689,1,540
2024-09-06 21:40:05.134689,1,616
2024-09-07 21:40:05.134689,1,701
2024-09-08 21:40:05.134689,1,627
2024-09-09 21:40:05.134689,1,533
2024-09-10 21:40:05.134689,1,515
2024-09-11 21:40:05.134689,1,548
2024-09-12 21:40:05.134689,1,483
2024-09-13 21:40:05.134689,1,582
2024-09-14 21:40:05.134689,1,556
2024-09-15 21:40:05.134689,1,578
2024-09-16 21:40:05.134689,1,498
2024-09-17 21:40:05.134689,1,492
